episode_id,timestamp,mode,contact_occurred,touchdown_time_seconds,landing_velocity_fps,fuel_remaining_units,reward,turns,min_altitude,max_speed,policy_params_json
1073,1774701969.9005964,live,True,24.5607,22.8035,0.0,-22.8035,22,12.0,75.0,"{""burn_large"": 15.909830981016627, ""burn_max"": 14.820065569936013, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 5.930559802251961, ""target_v_high"": 70.0, ""target_v_low"": 17.932450885006187, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1074,1774701974.6171343,live,True,23.7947,18.9737,0.0,-18.9737,23,13.5,75.0,"{""burn_large"": 12.30924857990014, ""burn_max"": 15.489196503311376, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 10.0, ""target_v_high"": 70.0, ""target_v_low"": 14.714588591903759, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1075,1774701979.308863,live,True,24.7749,23.8747,0.0,-23.8747,22,17.0,75.0,"{""burn_large"": 9.0, ""burn_max"": 14.0, ""burn_medium"": 6.292563395565927, ""burn_small"": 4.0, ""target_v_final"": 4.491876153921558, ""target_v_high"": 70.0, ""target_v_low"": 8.762370662278157, ""target_v_mid"": 30.54017251908769, ""target_v_mid_high"": 45.0}"
1076,1774701984.1150048,live,True,24.0497,20.2485,0.0,-20.2485,23,1.0,75.0,"{""burn_large"": 12.326961846496834, ""burn_max"": 14.0, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 8.748886106828397, ""target_v_high"": 70.0, ""target_v_low"": 16.577748418460306, ""target_v_mid"": 32.897204164121966, ""target_v_mid_high"": 45.0}"
1077,1774701988.923488,live,True,24.6904,23.4521,0.0,-23.4521,22,15.0,75.0,"{""burn_large"": 17.236284193376868, ""burn_max"": 14.0, ""burn_medium"": 8.35706049799381, ""burn_small"": 4.0, ""target_v_final"": 3.0106446401992137, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1078,1774701993.6763425,live,True,23.6332,18.1659,0.0,-18.1659,22,10.5,75.0,"{""burn_large"": 13.067850940510919, ""burn_max"": 14.0, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 2.207290986676918, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1079,1774701998.394037,live,True,24.4272,22.1359,0.0,-22.1359,22,9.0,75.0,"{""burn_large"": 10.677945430796157, ""burn_max"": 14.0, ""burn_medium"": 6.5902956312998935, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 14.816023501595842, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1080,1774702002.792007,live,True,22.0,14.0,4.0,-14.0,22,13.5,75.0,"{""burn_large"": 11.586002211544034, ""burn_max"": 14.0, ""burn_medium"": 5.194356355964416, ""burn_small"": 4.0, ""target_v_final"": 10.0, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 33.10466943428974, ""target_v_mid_high"": 45.0}"
1081,1774702007.6064358,live,True,24.0988,20.4939,0.0,-20.4939,23,2.0,75.0,"{""burn_large"": 9.0, ""burn_max"": 17.429678029622792, ""burn_medium"": 6.966223075241771, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1082,1774702012.4482107,live,True,24.7749,23.8747,0.0,-23.8747,22,17.0,75.0,"{""burn_large"": 13.291940234053529, ""burn_max"": 14.0, ""burn_medium"": 5.268118939522751, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 12.228290175311361, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1083,1774702017.2387786,live,True,24.0497,20.2485,0.0,-20.2485,22,1.0,75.0,"{""burn_large"": 9.990109064940894, ""burn_max"": 14.0, ""burn_medium"": 8.233510986816551, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 33.08335889328152, ""target_v_mid_high"": 45.0}"
1084,1774702022.0193436,live,True,24.1952,20.9762,0.0,-20.9762,23,4.0,75.0,"{""burn_large"": 17.965055591770877, ""burn_max"": 14.0, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 5.715210800809752, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1085,1774702026.746415,live,True,24.0497,20.2485,0.0,-20.2485,22,1.0,75.0,"{""burn_large"": 17.603919621148286, ""burn_max"": 14.0, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1086,1774702031.589639,live,True,24.98,24.8998,0.0,-24.8998,22,22.0,75.0,"{""burn_large"": 15.09209841336923, ""burn_max"": 14.0, ""burn_medium"": 5.840692740737424, ""burn_small"": 4.0, ""target_v_final"": 3.6873685612976295, ""target_v_high"": 70.0, ""target_v_low"": 10.354227418609467, ""target_v_mid"": 33.75062304311588, ""target_v_mid_high"": 45.0}"
1087,1774702036.326897,live,True,23.4641,17.3205,0.0,-17.3205,23,7.5,75.0,"{""burn_large"": 9.0, ""burn_max"": 14.551573520654543, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1088,1774702041.0695553,live,True,24.3359,21.6795,0.0,-21.6795,22,7.0,75.0,"{""burn_large"": 11.68469401646011, ""burn_max"": 14.0, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 17.02769603981455, ""target_v_mid"": 30.51759088719434, ""target_v_mid_high"": 45.0}"
1089,1774702045.7976208,live,True,24.5607,22.8035,0.0,-22.8035,22,12.0,75.0,"{""burn_large"": 15.557132623095852, ""burn_max"": 14.717480274237845, ""burn_medium"": 5.021551755879176, ""burn_small"": 4.0, ""target_v_final"": 6.1182096041939555, ""target_v_high"": 70.0, ""target_v_low"": 17.355329192789746, ""target_v_mid"": 31.318638878257183, ""target_v_mid_high"": 45.0}"
1090,1774702050.301471,live,True,22.4375,16.0,1.0,-16.0,23,7.0,75.0,"{""burn_large"": 9.0, ""burn_max"": 14.0, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 6.754119048815275, ""target_v_high"": 70.0, ""target_v_low"": 12.877663424069073, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1091,1774702054.9821107,live,True,24.858,24.2899,0.0,-24.2899,23,19.0,75.0,"{""burn_large"": 12.528325878455206, ""burn_max"": 15.562150081412485, ""burn_medium"": 8.233818497229963, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 28.748947881422428, ""target_v_mid_high"": 45.0}"
